Sr_No,Hospital_Name,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Address_Original_First_Line,Location,State,District,Subdistrict,Pincode,Telephone,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Website,Specialties,Facilities,Establised_Year,Emergency_Services,latitude,longitude,total_beds,position_group
24457,Nms Hospital Pvt Ltd,,,,"Vip, Nagar , Koval Main Road Mettupalayam","Vip, Nagar, Koval Main Road Mettupalayam",Tamil Nadu,Coimbatore,,641301,,,,,,,,,,,,,
24458,R A Medical Center and Hospital,,,,"416, Co-Operative Colony, Mtp","416, Co-Operative Colony, Mtp",Tamil Nadu,Coimbatore,,641301,,,,,,,,,,,,,
24459,Suriya Hospital,,,,"10 & 10 - A, Arignar Anna Street, Annur Road, Meettupalayam","10 & 10 - A, Arignar Anna Street, Annur Road, Meettupalayam",Tamil Nadu,Coimbatore,,641301,,,,,,,,,,,,,
24460,Sri Balaji Nursing Home,,,,Sathy Main Road Sirumugai,Sathy Main Road Sirumugai,Tamil Nadu,Coimbatore,,641302,,,,,,,,,,,,,
24461,Sri Loga Clinic,,,,"12/93 A, Sathy-Mettupalayam South West Street, Sirumugai","12/93 A, Sathy-Mettupalayam South West Street, Sirumugai",Tamil Nadu,Coimbatore,,641302,,,,,,,,,,,,,
24462,Srinivas Hospital,,,,Sathy Main Road Sirumugai Sirumugai,Sathy Main Road Sirumugai Sirumugai,Tamil Nadu,Coimbatore,,641302,,,,,,,,,,,,,
24463,Kiruba Hospital,,,,"81-B, Parry Company Road Kattor Mettupalayam Mettupalayam","81-B, Parry Company Road Kattor Mettupalayam Mettupalayam",Tamil Nadu,Coimbatore,,641305,,,,,,,,,,,,,
24464,Sakthi Nursing Home,,,,"281/2, Kamaraj Nagar Mettupalayam","281/2, Kamaraj Nagar Mettupalayam",Tamil Nadu,Coimbatore,,641305,,,,,,,,,,,,,
24465,Sri Ganapathy Krishna Hospital,,,,"Parry Co. Road, Kattoor","Parry Co. Road, Kattoor",Tamil Nadu,Coimbatore,,641305,,,,,,,,,,,,,
24466,Rvs Hospital,,,,"# 242/B, Trichy Road Sulur Sulur","242/B, Trichy Road Sulur Sulur",Tamil Nadu,Coimbatore,,641402,,,,,,,,,,,,,
24467,Ag Hospital,,,,"34, 3Rd Street K P N Colony Tirupur","34, 3Rd Street K P N Colony Tirupur",Tamil Nadu,Coimbatore,,641601,,,,,,,,,,,,,
24468,Lotus Eye Care Hospital,,,,No.5(2) Gajalakshmi Theatre Road Near Valarmathi Bus Stop,"No.5(2) Gajalakshmi Theatre Road Near Valarmathi Bus Stop, Tirupur",Tamil Nadu,Coimbatore,,641601,,,,,,,,,,,,,
24469,Tirupur Medical Foundation (P) Limited,,,,"# 1, Sabapathipuram","1, Sabapathipuram",Tamil Nadu,Coimbatore,,641601,,,,,,,,,,,,,
24470,Anand Hospitals,,,,"97/54, Jg Nagar, Ii Nd Street, 60Feet Road, Near Regional Transport Office","97/54, Jg Nagar, Ii Nd Street, 60Feet Road, Near Regional Transport Office",Tamil Nadu,Coimbatore,,641602,,,,,,,,,,,,,
24471,Deepa Hospital,,,,"55 / 27, 65/27 Stanes 2Nd Street,Odakadu Road,Avinashi Road","55 / 27, 65/27 Stanes 2Nd Street,Odakadu Road,Avinashi Road.",Tamil Nadu,Coimbatore,,641602,,,,,,,,,,,,,
24472,Malar Priya Medical Center,,,,"#8/1646 -M, Ponnammal Nagar,Pandian Nagar,P.N.Road","8/1646 -M, Ponnammal Nagar,Pandian Nagar,P.N.Road",Tamil Nadu,Coimbatore,,641602,,,,,,,,,,,,,
24473,Saayi Prema Hospital,,,,"18/3C, Postal Colony Venkatappa Gr Lay Out Weavers Colony Bus Stop, Sivan Theatre Road, Tirupur Sivan Theatre Road, Tirupur","18/3C, Postal Colony Venkatappa Gr Lay Out Weavers Colony Bus Stop, Sivan Theatre Road, Tirupur Sivan Theatre Road, Tirupur",Tamil Nadu,Coimbatore,,641602,,,,,,,,,,,,,
24474,"Shri Kumaran Medical Center Pvt Ltd ,",,,,"774, Pn Road Nr New Bus Stand","774, Pn Road Nr New Bus Stand",Tamil Nadu,Coimbatore,,641602,,,,,,,,,,,,,
24475,Sree Saran Medical Centre - Tirupur,,,,"Poyampalayam Bus Stop, Sneha Nagar, P. N. Road","Poyampalayam Bus Stop, Sneha Nagar, P. N. Road",Tamil Nadu,Coimbatore,,641602,,,,,,,,,,,,,
24476,Sri Kumaran Hospital - A Unit Of Sri Kumaran Medical Center (P) Ltd - Tirupur,,,,"774 - P. N. Road, Near Nre Bus Stand","774 - P. N. Road, Near Nre Bus Stand",Tamil Nadu,Coimbatore,,641602,,,,,,,,,,,,,
24477,The Eye Foundation,,,,"14/22, Harvey Road, Tirupur","14/22, Harvey Road, Tirupur",Tamil Nadu,Coimbatore,,641602,,,,,,,,,,,,,
24478,Vasan Eye Care Hospital,,,,"No 83, Perumanallur Road, Nesavalar Colony, Tirupur","No 83, Perumanallur Road, Nesavalar Colony, Tirupur",Tamil Nadu,Coimbatore,,641602,,,,,,,,,,,,,
24479,Alamelu Balaji Hospital (P) Ltd. - Tirupur,,,,"No.23,Shri Vidhya Nagar Iiird Street,College Road","No.23,Shri Vidhya Nagar Iiird Street,College Road",Tamil Nadu,Coimbatore,,641603,,,,,,,,,,,,,
24480,Krithiga Hospital,,,,"15, Mangalam Raod , Karuvampalayam Tirupur","15, Mangalam Raod, Karuvampalayam Tirupur",Tamil Nadu,Coimbatore,,641603,,,,,,,,,,,,,
24481,Rams Critical Care Center,,,,"303, Kumar Nagar , Near E.B. Office,Avinashi Road, Tripur","303, Kumar Nagar, Near E.B. Office,Avinashi Road, Tripur",Tamil Nadu,Coimbatore,,641603,,,,,,,,,,,,,
24482,Revathi Medical Centre,,,,"10, Valayankadu Road Avinashi Road Kumar Nagar (W) Tirupur","10, Valayankadu Road Avinashi Road Kumar Nagar (W) Tirupur",Tamil Nadu,Coimbatore,,641603,,,,,,,,,,,,,
24483,Sree Ganapathy Nursing Home,,,,"140142, Kangayam Cross Road , Tirupur","140142, Kangayam Cross Road, Tirupur",Tamil Nadu,Coimbatore,,641603,,,,,,,,,,,,,
24484,Tmf Hospital,,,,Tirupur Tirupur Tirupur,Tirupur Tirupur Tirupur,Tamil Nadu,Coimbatore,,641603,,,,,,,,,,,,,
24485,Ars Hospitals - Tirupur,,,,"1St Cross Street, Thennampalayam Extension Palladam Road, Tirupur","1St Cross Street, Thennampalayam Extension Palladam Road, Tirupur",Tamil Nadu,Coimbatore,,641604,,,,,,,,,,,,,
24486,Dsk Hospital,,,,"19, Katir Nagar Kangayam Road Tirupur","19, Katir Nagar Kangayam Road Tirupur",Tamil Nadu,Coimbatore,,641604,,,,,,,,,,,,,
24487,K N Children Hospital,,,,"6/13, Town Extn 1 St, Dharapuram Rd, Dharapuram Road","6/13, Town Extn 1 St, Dharapuram Rd, Dharapuram Road,",Tamil Nadu,Coimbatore,,641604,,,,,,,,,,,,,
24488,Kritiga Hospital,,,,"15, Mangalam Road, Karuvampalayam","15, Mangalam Road, Karuvampalayam",Tamil Nadu,Coimbatore,,641604,,,,,,,,,,,,,
24489,Sankara Hospital,,,,"#35, K.R.R.Layout,Mangalam Road","35, K.R.R.Layout,Mangalam Road",Tamil Nadu,Coimbatore,,641604,,,,,,,,,,,,,
24490,Roopa Nursing Home,,,,,Coimbatore,Tamil Nadu,Coimbatore,,641607,,,,,,,,,,,,,
24491,R G Hospital,,,,"No. 78B, Kowai Road, Unnur","No. 78B, Kowai Road, Unnur",Tamil Nadu,Coimbatore,,641653,,,,,,,,,,,,,
24492,Sanjeevani Hospital And Maternity Home,,,,"69/2,Kovai Road,N.H. 209,Coimbatore-Sathy Road","69/2,Kovai Road,N.H. 209,Coimbatore-Sathy Road",Tamil Nadu,Coimbatore,,641653,,,,,,,,,,,,,
24493,Ponni Hospital,,,,"42-1, Chettipalayam Road,Palladam","42-1, Chettipalayam Road,Palladam",Tamil Nadu,Coimbatore,,641664,,,,,,,,,,,,,
24494,Rajeshwari Nursing Home,,,,"16/153, N.G.R. Raod, Palladam","16/153, N.G.R. Raod, Palladam",Tamil Nadu,Coimbatore,,641664,,,,,,,,,,,,,
24495,Mayura Hospital,,,,"3/46, Nariamman Moil Street , Perlimanallur, Tiruppur Taluk Tiruppur Taluk","3/46, Nariamman Moil Street, Perlimanallur, Tiruppur Taluk Tiruppur Taluk",Tamil Nadu,Coimbatore,,641666,,,,,,,,,,,,,
24496,Sri Akshitha Maternity Hospital,,,,Perumanallur Perumanallur,Perumanallur Perumanallur,Tamil Nadu,Coimbatore,,641666,,,,,,,,,,,,,
24497,Thirumala Hospital,,,,"No. 282, Sakthi Nagar, Krishna Duram, Somanur","No. 282, Sakthi Nagar, Krishna Duram, Somanur",Tamil Nadu,Coimbatore,,641668,,,,,,,,,,,,,
24498,Sangeetha Nursing Home,,,,"No. 2/585-C, Hare Rama Hare Krishna Nagar,6Th Street","No. 2/585-C, Hare Rama Hare Krishna Nagar,6Th Street,",Tamil Nadu,Coimbatore,,641687,,,,,,,,,,,,,
24499,A.S.D. Nursing Home,,,,"91/1, Coimbatore Road Pollachi","91/1, Coimbatore Road Pollachi",Tamil Nadu,Coimbatore,,642001,,,,,,,,,,,,,
24500,Ar Ortho Hospital,,,,"42/1, New Scheme Road, Pollachi","42/1, New Scheme Road, Pollachi",Tamil Nadu,Coimbatore,,642001,,,,,,,,,,,,,
24501,Arathana Ortho Centre,,,,"R C Poly Clinic Building , 136, Appar Street, Venkatesa Colony Pollachi","R C Poly Clinic Building, 136, Appar Street, Venkatesa Colony Pollachi",Tamil Nadu,Coimbatore,,642001,,,,,,,,,,,,,
24502,Arun Vijay Polyclinic,,,,"18, Municipal Boys Higher Secondary School Road,Pollachi","18, Municipal Boys Higher Secondary School Road,Pollachi",Tamil Nadu,Coimbatore,,642001,,,,,,,,,,,,,
24503,Chellam Clinic,,,,3 M.High School Road,3 M.High School Road,Tamil Nadu,Coimbatore,,642001,,,,,,,,,,,,,
24504,J M Polyclinic,,,,"No. 42, New Scheme Road, Pollachi","No. 42, New Scheme Road, Pollachi",Tamil Nadu,Coimbatore,,642001,,,,,,,,,,,,,
24505,K.M. Hospitals,,,,"110/14, Palakkad Road, Near To Bus Stand, Pollachi 1","110/14, Palakkad Road, Near To Bus Stand, Pollachi 1",Tamil Nadu,Coimbatore,,642001,,,,,,,,,,,,,
24506,Kausalya Medical Centre,,,,"New Scheme Road,Pollachi","New Scheme Road,Pollachi",Tamil Nadu,Coimbatore,,642001,,,,,,,,,,,,,
24507,M.R.S Hospital,,,,"3,Mhs Road, Pollachl","3,Mhs Road, Pollachl",Tamil Nadu,Coimbatore,,642001,,,,,,,,,,,,,
24508,Mcv Memorial Ent Trust Hospital,,,,106 Palghat Road Pollachi Pollachi,106 Palghat Road Pollachi Pollachi,Tamil Nadu,Coimbatore,,642001,,,,,,,,,,,,,
24509,Palakkad Ayurvedic Hospital,,,,"1) 47/83, Andigounder Street, Karikalacholan Street, Pollachi 2) 1/54, Kns Complex , First Floor , Balagopalapuram Street , Pollachi- 2) 1/54, Kns Complex , First Floor , Balagopalapuram Street , Pollachi","1) 47/83, Andigounder Street, Karikalacholan Street, Pollachi 2) 1/54, Kns Complex, First Floor Balagopalapuram Street , Pollachi- 2) 1/54, Kns Complex , First Floor , Balagopalapuram Street , Pollachi",Tamil Nadu,Coimbatore,,642001,,,,,,,,,,,,,
24510,Pkd Nursing Home,,,,"77, Gandhi Mandapam Street Pollachi Pollachi","77, Gandhi Mandapam Street Pollachi Pollachi",Tamil Nadu,Coimbatore,,642001,,,,,,,,,,,,,
24511,Ram Poly Clinic,,,,"No. 146/2, New Scheme Road,Pollachi","No. 146/2, New Scheme Road,Pollachi,",Tamil Nadu,Coimbatore,,642001,,,,,,,,,,,,,
24512,Sakthi Polyclinic,,,,New Scheme Road Pollachi Pollachi,New Scheme Road Pollachi Pollachi,Tamil Nadu,Coimbatore,,642001,,,,,,,,,,,,,
24513,Vasan Eye Care Hospital,,,,"Ka Complex, 32, New Scheme Road, Pollachi Pollachi","Ka Complex, 32, New Scheme Road, Pollachi Pollachi",Tamil Nadu,Coimbatore,,642001,,,,,,,,,,,,,
24514,A.S.D.Nursing Home,,,,Near Mahalinapuram Arch,Near Mahalinapuram Arch,Tamil Nadu,Coimbatore,,642002,,,,,,,,,,,,,
24515,Alva Hospital Pvt Ltd,,,,74/A2 Meenkarai Road Ambarampalayam Pollachi,74/A2 Meenkarai Road Ambarampalayam Pollachi,Tamil Nadu,Coimbatore,,642002,,,,,,,,,,,,,
24516,Arun Hospital,,,,"88, New Scheme Road Pollachi Pollachi","88, New Scheme Road Pollachi Pollachi",Tamil Nadu,Coimbatore,,642002,,,,,,,,,,,,,
24517,Prabhu Poly Clinic,,,,"#94, New Scheme Rd","94, New Scheme Rd,,.",Tamil Nadu,Coimbatore,,642002,,,,,,,,,,,,,
24518,Sindhia Ortho Clinic,,,,"54,L.I.G Colony ,Mahalingapuram, Pollachi","54,L.I.G Colony,Mahalingapuram, Pollachi",Tamil Nadu,Coimbatore,,642002,,,,,,,,,,,,,
24519,Sivameds Multispecialality Hospital,,,,"146 / 2 , Bharathi Stret, Mahalingapuram, Pollachi","146 / 2, Bharathi Stret, Mahalingapuram, Pollachi",Tamil Nadu,Coimbatore,,642002,,,,,,,,,,,,,
24520,Surya Polyclinic,,,,"92, Newscheme Road, Pollachi","92, Newscheme Road, Pollachi",Tamil Nadu,Coimbatore,,642002,,,,,,,,,,,,,
24521,Syndhiya Ortho Clinic,,,,,"Coimbatore, Coimbatore",Tamil Nadu,Coimbatore,,642002,,,,,,,,,,,,,
24522,The Pollachi Cardiac Center,,,,"5/400, Tamil Mani Nagar, Coimbatore Road, Pollachi","5/400, Tamil Mani Nagar, Coimbatore Road, Pollachi",Tamil Nadu,Coimbatore,,642002,,,,,,,,,,,,,
24523,Dr T D Nair Hospital,,,,"1-A, Pollacih Road, Anaimalai, Vrt Govt Girls Her School","1-A, Pollacih Road, Anaimalai, Vrt Govt Girls Her School",Tamil Nadu,Coimbatore,,642104,,,,,,,,,,,,,
24524,Karthik Hospital,,,,"18, Christian Colony Karamadai Road Mettupalayam Mettupalayam","18, Christian Colony Karamadai Road Mettupalayam Mettupalayam",Tamil Nadu,Coimbatore,,642110,,,,,,,,,,,,,
24525,Kps Hospitals Pvt Ltd,,,,"208, Annur Road Annur Road Mettupalayam Mettupalayam","208, Annur Road Annur Road Mettupalayam Mettupalayam",Tamil Nadu,Coimbatore,,642110,,,,,,,,,,,,,
24526,Smyl Hospitals,,,,"5/431-A, Teacher's Colony Near, Ctc Depot","5/431-A, Teacher's Colony Near, Ctc Depot",Tamil Nadu,Coimbatore,,642110,,,,,,,,,,,,,
24527,Subbiah Nadar Krishnammal Selvam Hospital,,,,"No. 6, Agraharam, Mettupalayam","No. 6, Agraharam, Mettupalayam",Tamil Nadu,Coimbatore,,642110,,,,,,,,,,,,,
24528,Supa Hospital,,,,# 64/299 V C V Pettai Mettupalayam Mettupalayam,64/299 V C V Pettai Mettupalayam Mettupalayam,Tamil Nadu,Coimbatore,,642110,,,,,,,,,,,,,
24529,Dr.A.Purushothaman,,,,"No 2, By Pass Road,Udumalpet","No 2, By Pass Road,Udumalpet",Tamil Nadu,Coimbatore,,642126,,,,,,,,,,,,,
24530,Dr.Sivakani Hospital Pvt Ltd,,,,"Udumalpet, Tiruppur","Udumalpet, Tiruppur",Tamil Nadu,Coimbatore,,642126,,,,,,,,,,,,,
24531,Lavanya Hospital,,,,"2, Ramasamy Street Sardar Road Udumalpet Udumalpet","2, Ramasamy Street Sardar Road Udumalpet Udumalpet",Tamil Nadu,Coimbatore,,642126,,,,,,,,,,,,,
24532,Muthusamy Nursing Home,,,,"No. 14 / 49, Nehru Street, Udumalpet","No. 14 / 49, Nehru Street, Udumalpet",Tamil Nadu,Coimbatore,,642126,,,,,,,,,,,,,
24533,Priya Orthopaedic Center,,,,"24, Andal Srinivasam Layout Udumelpet","24, Andal Srinivasam Layout Udumelpet",Tamil Nadu,Coimbatore,,642126,,,,,,,,,,,,,
24534,Santhosham Hospital,,,,"No 5,6 Srinagar,Udumal Pet","No 5,6 Srinagar,Udumal Pet",Tamil Nadu,Coimbatore,,642126,,,,,,,,,,,,,
24535,Saravana Hospital,,,,"9B, Kalpana Road, Udumalpet","9B, Kalpana Road, Udumalpet",Tamil Nadu,Coimbatore,,642126,,,,,,,,,,,,,
24536,Shetty Hospital,,,,Saravana Pillai Street,Saravana Pillai Street,Tamil Nadu,Coimbatore,,642126,,,,,,,,,,,,,
24537,Snr Eye Hospital,,,,No.10 Yasodha Ramalingam Layout Bye Pass Road,No.10 Yasodha Ramalingam Layout Bye Pass Road,Tamil Nadu,Coimbatore,,642126,,,,,,,,,,,,,
24538,Sri Kumaran Hospital,,,,"Ramalingam Lay-Out, Udumalpet-642126","Ramalingam Lay-Out, Udumalpet-642126",Tamil Nadu,Coimbatore,,642126,,,,,,,,,,,,,
24539,U.K. Hospital,,,,"Aishwarya Nagar,Udumalpet","Aishwarya Nagar,Udumalpet",Tamil Nadu,Coimbatore,,642126,,,,,,,,,,,,,
24540,Abiraami Hospital,,,,"# 24, Alc Campus","24, Alc Campus, Cuddalore,.",Tamil Nadu,Cuddalore,,607001,,,,,,,,,,,,,
24541,Arcot Hospital,,,,"# 30 -31, Alc Campus","30 -31, Alc Campus",Tamil Nadu,Cuddalore,,607001,,,,,,,,,,,,,
24542,K R Surgical Clinic,,,,207 Nethaji Road,207 Nethaji Road,Tamil Nadu,Cuddalore,,607001,,,,,,,,,,,,,
24543,Kannan Hospital,,,,"17, Bashyam Reddy St,Manjakuppam","17, Bashyam Reddy St,Manjakuppam.",Tamil Nadu,Cuddalore,,607001,,,,,,,,,,,,,
24544,Krishna Hospital,,,,No. 6 (Old No. 17-A) Hospital Road,No. 6 (Old No. 17-A) Hospital Road Cuddalore,Tamil Nadu,Cuddalore,,607001,,,,,,,,,,,,,
24545,Maruthi Gastro Care Hospital,,,,"No.42-43,Sekar Nagar,Semmandalam","No.42-43,Sekar Nagar,Semmandalam,Cuddalore",Tamil Nadu,Cuddalore,,607001,,,,,,,,,,,,,
24546,Roshini Arunaa Clinic,,,,"No.32, A.L.C. Campus","No.32, A.L.C. Campus Cuddalore",Tamil Nadu,Cuddalore,,607001,,,,,,,,,,,,,
24547,S.R.Hospital and E.N.T.Research Foundation,,,,"# 25, Alc Campus","25, Alc Campus,,.",Tamil Nadu,Cuddalore,,607001,,,,,,,,,,,,,
24548,Sujatha Hospital,,,,"#78, Nethaji Rd,Manjakuppam","78, Nethaji Rd,Manjakuppam,.",Tamil Nadu,Cuddalore,,607001,,,,,,,,,,,,,
24549,Thangavinayagam Clinic,,,,"159-B,R.S.K Pandian Road","159-B,R.S.K Pandian Road",Tamil Nadu,Cuddalore,,607001,,,,,,,,,,,,,
24550,Valli Vilas Hospital,,,,"45/2, Valli Vilas, Hospital, 45/2, Bharathy Road","45/2, Valli Vilas, Hospital, 45/2, Bharathy Road,",Tamil Nadu,Cuddalore,,607001,,,,,,,,,,,,,
24551,Vasan Eye Care Hospital,,,,"No.18&19, Lawrence Road, , Near Cuddalore Bus Stand,Thirupapuliyur","No.18&19, Lawrence Road, Near Cuddalore Bus Stand,Thirupapuliyur.",Tamil Nadu,Cuddalore,,607001,,,,,,,,,,,,,
24552,Vee C S Hospital,,,,"No-25, Kamalam Nagar","No-25, Kamalam Nagar, Cuddalore",Tamil Nadu,Cuddalore,,607002,,,,,,,,,,,,,
24553,Alagananda Hospital,,,,"No. 91, Old Police Line Street, O T","No. 91, Old Police Line Street, Cuddalore O T",Tamil Nadu,Cuddalore,,607003,,,,,,,,,,,,,
24554,Surendhira Hospital,,,,"No. 23, Sankara Naidu Street, O T","No. 23, Sankara Naidu Street, Cuddalore O T",Tamil Nadu,Cuddalore,,607003,,,,,,,,,,,,,
24555,Dr. Agarwal's Eye Hospital Ltd. - Panruti,,,,"No:74, Vasantham Tower, Kumbakonam Main Road, Panruti","No:74, Vasantham Tower, Kumbakonam Main Road, Panruti",Tamil Nadu,Cuddalore,,607106,,,,,,,,,,,,,
24556,Anjalai Hospital,,,,"Panriti Main Road, Vadalur","Panriti Main Road, Vadalur",Tamil Nadu,Cuddalore,,607303,,,,,,,,,,,,,
24557,"Dr.Agarwal Eye Hospital, Neyveli",,,,"No.47, Cuddalore Main Road,Near Jayaproya Theatre,Mandarakuppam","No.47, Cuddalore Main Road,Near Jayaproya Theatre,Mandarakuppam .",Tamil Nadu,Cuddalore,,607802,,,,,,,,,,,,,
24558,Mahalakshmi Nursing Home,,,,"Periyakurichi, Neyveli","Periyakurichi, Neyveli, Cuddalore",Tamil Nadu,Cuddalore,,607802,,,,,,,,,,,,,
24559,Ponni Hospital,,,,"3/1, Main Road, Neyveli","3/1, Main Road, Neyveli",Tamil Nadu,Cuddalore,,607802,,,,,,,,,,,,,
24560,Arul Nursing Home,,,,"9, South Car Street, Chidambaram","9, South Car Street, Chidambaram",Tamil Nadu,Cuddalore,,608001,,,,,,,,,,,,,
24561,Jothi Nursing Home,,,,"No. 145, East Car Street","No. 145, East Car Street,",Tamil Nadu,Cuddalore,,608001,,,,,,,,,,,,,
24562,K. R. Hospital,,,,"14/15, Muruga Pillai Street, Chidambaram","14/15, Muruga Pillai Street, Chidambaram",Tamil Nadu,Cuddalore,,608001,,,,,,,,,,,,,
24563,"Kannan Nursing Home, Chidambaram",,,,"No. : 18/8, East Sannathi Chidambaram","No. : 18/8, East Sannathi Chidambaram",Tamil Nadu,Cuddalore,,608001,,,,,,,,,,,,,
24564,Maniarsan Memorial Poly Hospital,,,,29 V.G.P Street,29 V.G.P Street,Tamil Nadu,Cuddalore,,608001,,,,,,,,,,,,,
24565,Nataraja Children Hospital,,,,"13/1, (Old No. 27)S.P Koli Street , Chidambaram","13/1, (Old No. 27)S.P Koli Street, Chidambaram",Tamil Nadu,Cuddalore,,608001,,,,,,,,,,,,,
24566,R.K Nursing Home,,,,"#7,Mariamman Koil Street","7,Mariamman Koil Street,.",Tamil Nadu,Cuddalore,,608001,,,,,,,,,,,,,
24567,Sr Ent Clinic,,,,"#87, East Car St,Near Nataraja Temple","87, East Car St,Near Nataraja Temple,.",Tamil Nadu,Cuddalore,,608001,,,,,,,,,,,,,
24568,Sri Venkateshwara Hospital,,,,"125,Sp Kovil Street, Chidambaram","125,Sp Kovil Street, Chidambaram",Tamil Nadu,Cuddalore,,608001,,,,,,,,,,,,,
24569,Syed Aleem Medical Center,,,,"31, Keeraikara Street, Parangipettai","31, Keeraikara Street, Parangipettai",Tamil Nadu,Cuddalore,,608502,,,,,,,,,,,,,
24570,Amirtham Hospital,,,,"#186, Salem Main Road","186, Salem Main Road,.",Tamil Nadu,Dharmapuri,,635301,,,,,,,,,,,,,
24571,Raja Hospital,,,,Salem Main Road,"Salem Main Road,.",Tamil Nadu,Dharmapuri,,635301,,,,,,,,,,,,,
24572,Ac Hospitals,,,,201 Second Agraharam Salem,201 Second Agraharam Salem,Tamil Nadu,Dharmapuri,,636001,,,,,,,,,,,,,
24573,Ayyappa Hospital,,,,"48, Andal Street,Shevapet,Salem","48, Andal Street,Shevapet,Salem",Tamil Nadu,Dharmapuri,,636001,,,,,,,,,,,,,
24574,Dr.Thiru NeuroandMulti Specality Hospital(P)Ltd.,,,,"46,Second Agraharam(Opp),Pattai Tempel Bus Stop,Salem-636","46,Second Agraharam(Opp),Pattai Tempel Bus Stop,Salem-636",Tamil Nadu,Dharmapuri,,636001,,,,,,,,,,,,,
24575,G V Jayam Hospital,,,,"1015 E2 , Gopal Street , Ponammapet","1015 E2, Gopal Street Ponammapet ,",Tamil Nadu,Dharmapuri,,636001,,,,,,,,,,,,,
24576,Haneefa Poly Clinic and Nursing Home,,,,"148-B, Cherry Road","148-B, Cherry Road",Tamil Nadu,Dharmapuri,,636001,,,,,,,,,,,,,
24577,J S Hospital,,,,"5-A Ramakrishna Road , Salem","5-A Ramakrishna Road, Salem",Tamil Nadu,Dharmapuri,,636001,,,,,,,,,,,,,
24578,Kamala Hospital,,,,"Sree Krishna Complex, 256, Second Agraharam, Salem","Sree Krishna Complex, 256, Second Agraharam, Salem",Tamil Nadu,Dharmapuri,,636001,,,,,,,,,,,,,
24579,Manipal Hospital [Providence Specialty Hospital (India) Private Limited],,,,"No.3/41, Dalmia Bird , Salem-Bangalore Highways","No.3/41, Dalmia Bird, Salem-Bangalore Highways",Tamil Nadu,Dharmapuri,,636001,,,,,,,,,,,,,
24580,Modern Hospital,,,,"53, Secound Agraharam","53, Secound Agraharam,.",Tamil Nadu,Dharmapuri,,636001,,,,,,,,,,,,,
24581,Mohanraj ChildrenS Hospital,,,,"214, 2Nd Agraharam Salem","214, 2Nd Agraharam Salem",Tamil Nadu,Dharmapuri,,636001,,,,,,,,,,,,,
24582,Pks Hospital,,,,"40, Ammapet Main Road Salem","40, Ammapet Main Road Salem",Tamil Nadu,Dharmapuri,,636001,,,,,,,,,,,,,
24583,Pushpam Hospital,,,,"210, 2Nd Agraharam, Salem","210, 2Nd Agraharam, Salem",Tamil Nadu,Dharmapuri,,636001,,,,,,,,,,,,,
24584,Raajam Hospital,,,,"Loco Line, Near Kaliamman, Kovil","Loco Line, Near Kaliamman, Kovil",Tamil Nadu,Dharmapuri,,636001,,,,,,,,,,,,,
24585,Sarvana Hospital Pvt. Ltd.,,,,"210, Veeranam Main Road, Ponnammapet","210, Veeranam Main Road, Ponnammapet",Tamil Nadu,Dharmapuri,,636001,,,,,,,,,,,,,
24586,Shri Surakksha Speciality Medical Center Pvt Ltd,,,,"148 Cherry Road , Near Mulluvadi Gate","148 Cherry Road, Near Mulluvadi Gate",Tamil Nadu,Dharmapuri,,636001,,,,,,,,,,,,,
24587,Sri Raam Hospital,,,,"49/20, Second Agraharam","49/20, Second Agraharam",Tamil Nadu,Dharmapuri,,636001,,,,,,,,,,,,,
24588,Dnv Polyclinic,,,,"7, Rajagopal, Gounder Street","7, Rajagopal, Gounder Street,",Tamil Nadu,Dharmapuri,,636701,,,,,,,,,,,,,
24589,Dr. Agarwals Eye Hospital Ltd.,,,,"136, 1St Floor, Nethaji Bye Pass Road, Opposite Hotel Rama Public Ltd","136, 1St Floor, Nethaji Bye Pass Road, Opposite Hotel Rama Public Ltd",Tamil Nadu,Dharmapuri,,636701,,,,,,,,,,,,,
24590,K.B. Hospital,,,,64-A Senkodipuram Street,"64-A Senkodipuram Street,",Tamil Nadu,Dharmapuri,,636701,,,,,,,,,,,,,
24591,K.S. Hospital,,,,"#7/1, C K Srinivasa Roa Street","7/1, C K Srinivasa Roa Street",Tamil Nadu,Dharmapuri,,636701,,,,,,,,,,,,,
24592,K.V.Hospital - Senthil Kidney Centre,,,,"#107, Gandhi Nagar,Opposite Agarwal Eye Hospital","107, Gandhi Nagar,Opposite Agarwal Eye Hospital,.",Tamil Nadu,Dharmapuri,,636701,,,,,,,,,,,,,
24593,Kamalam Nursing Home,,,,"248,By-Pass Road","248,By-Pass Road",Tamil Nadu,Dharmapuri,,636701,,,,,,,,,,,,,
24594,Nithya Hospital,,,,"No.14-B, Nethaji Bye - Pass Road","No.14-B, Nethaji Bye - Pass Road,",Tamil Nadu,Dharmapuri,,636701,,,,,,,,,,,,,
24595,P.M.K. Hospital,,,,"# 3 , C.K.Srinivasa Rao St","3, C.K.Srinivasa Rao St,,.",Tamil Nadu,Dharmapuri,,636701,,,,,,,,,,,,,
